category,status,stage,copy_relative_path,source_path,purpose,sha256
project_script_current,CURRENT_REVIEW_SNAPSHOT,helper,01_项目脚本当前快照\scripts\__init__.py,C:\SH\fga_cyclic_peptide_design\scripts\__init__.py,Python package marker.,b3e01c650c8dd3235dd54073311aa77c2e3f739586e92feac4dd28c18452e4b1
project_script_current,CURRENT_REVIEW_SNAPSHOT,0,01_项目脚本当前快照\scripts\00_check_environment.py,C:\SH\fga_cyclic_peptide_design\scripts\00_check_environment.py,检查项目依赖、路径和运行环境。,0d9384ac537dfe27f8f2a06e7a2ca89167adc53656bf614bfadcbde1c7873915
project_script_current,CURRENT_REVIEW_SNAPSHOT,1,01_项目脚本当前快照\scripts\01_extract_fga_sequence.py,C:\SH\fga_cyclic_peptide_design\scripts\01_extract_fga_sequence.py,从输入表提取 FGA/P02671 序列。,99400aed9e2730a022a501346a0e5bc0a8ad06a357661fda165967bf37b051f7
project_script_current,CURRENT_REVIEW_SNAPSHOT,2,01_项目脚本当前快照\scripts\02_prepare_fga_regions.py,C:\SH\fga_cyclic_peptide_design\scripts\02_prepare_fga_regions.py,生成 FGA full-length、extracellular 和 main-chain FASTA。,285869f1f79ec2ffb06a8d2ff6426e3512fbb1669ef67ee6a101e4189f248239
project_script_current,CURRENT_REVIEW_SNAPSHOT,3,01_项目脚本当前快照\scripts\03_prepare_structures.py,C:\SH\fga_cyclic_peptide_design\scripts\03_prepare_structures.py,下载并清理 native fibrinogen 结构。,dc6a2c62979d624e938b22e30a28489cf2aeb51a769838f93ee7f44e0c4374dd
project_script_current,CURRENT_REVIEW_SNAPSHOT,4,01_项目脚本当前快照\scripts\04_map_fga_structure.py,C:\SH\fga_cyclic_peptide_design\scripts\04_map_fga_structure.py,建立 PDB residue 与 UniProt FGA residue 映射。,16bbcb2afbd0ed0a81dd8b26fcb6ebde9f34de8378919b2ae5a33b56c3457a96
project_script_current,CURRENT_REVIEW_SNAPSHOT,5,01_项目脚本当前快照\scripts\05_select_surface_patches.py,C:\SH\fga_cyclic_peptide_design\scripts\05_select_surface_patches.py,旧 ColabDesign 路线的表面 patch 选择。,d605510d7b7d4186caa9783abe93a9d4bdc2dfdb40acd784c6cc54025cf63fd7
project_script_current,CURRENT_REVIEW_SNAPSHOT,6,01_项目脚本当前快照\scripts\06_make_design_jobs.py,C:\SH\fga_cyclic_peptide_design\scripts\06_make_design_jobs.py,旧 ColabDesign 路线的环肽设计 job 准备。,3746dbfff563924df490ca0a19f716b8618ee27690afd295abb3e3e85dcc0c52
project_script_current,CURRENT_REVIEW_SNAPSHOT,7,01_项目脚本当前快照\scripts\07_collect_raw_designs.py,C:\SH\fga_cyclic_peptide_design\scripts\07_collect_raw_designs.py,收集旧路线模型生成的 raw candidates。,e3724f02d2994c2de5fe4692e1e356e59945386916f130ea76ba82a5b4c9e1f0
project_script_current,CURRENT_REVIEW_SNAPSHOT,8,01_项目脚本当前快照\scripts\08_filter_sequences.py,C:\SH\fga_cyclic_peptide_design\scripts\08_filter_sequences.py,旧 Cys-Cys 环肽路线的序列硬过滤。,a4dcf56f586aa2ff0c068ab4ae450e641d91556281ccc15754b4f12dd25cd6e7
project_script_current,CURRENT_REVIEW_SNAPSHOT,9,01_项目脚本当前快照\scripts\09_prepare_complex_prediction_jobs.py,C:\SH\fga_cyclic_peptide_design\scripts\09_prepare_complex_prediction_jobs.py,为旧路线候选准备复合物预测 jobs。,9c5615057501a8c7243fb88421ca48714ba370308d76fb70751eb7b6336ef404
project_script_current,CURRENT_REVIEW_SNAPSHOT,10,01_项目脚本当前快照\scripts\10_score_complex_predictions.py,C:\SH\fga_cyclic_peptide_design\scripts\10_score_complex_predictions.py,解析并评分旧路线复合物预测。,24fedfd74946bb8a73c8989d91fd615375f80e6fb2e3a8bb4d6638e621dae268
project_script_current,CURRENT_REVIEW_SNAPSHOT,11,01_项目脚本当前快照\scripts\11_negative_screen.py,C:\SH\fga_cyclic_peptide_design\scripts\11_negative_screen.py,汇总旧路线负筛选结果。,0e9c7836837f705340c59f1047f9c648b981cac76176d1f7ffc0f115843a9751
project_script_current,CURRENT_REVIEW_SNAPSHOT,12,01_项目脚本当前快照\scripts\12_rank_candidates.py,C:\SH\fga_cyclic_peptide_design\scripts\12_rank_candidates.py,旧路线综合排名与 top candidate 导出。,1525d942f0f15a95c6bcdd8643ddf79eee332e9b5e0a2ba611415958dc2fb7ee
project_script_current,CURRENT_REVIEW_SNAPSHOT,13,01_项目脚本当前快照\scripts\13_export_final_report.py,C:\SH\fga_cyclic_peptide_design\scripts\13_export_final_report.py,导出旧路线中文报告。,628271b2964c456712246ba0a63460cc9f10cf7296db07018a0f8495296c397e
project_script_current,CURRENT_REVIEW_SNAPSHOT,14,01_项目脚本当前快照\scripts\14_prepare_boltz_prediction_jobs.py,C:\SH\fga_cyclic_peptide_design\scripts\14_prepare_boltz_prediction_jobs.py,准备 Boltz 复合物预测输入。,2df254747997af618b60752793d1667c361e742dbb8ae944e04d806ec3c47d5d
project_script_current,CURRENT_REVIEW_SNAPSHOT,15,01_项目脚本当前快照\scripts\15_parse_boltz_predictions.py,C:\SH\fga_cyclic_peptide_design\scripts\15_parse_boltz_predictions.py,解析 Boltz 预测结果。,c6bef9cefc16eea0995adf726e0f24ea0a512c436496657be216ee448227a694
project_script_current,CURRENT_REVIEW_SNAPSHOT,16,01_项目脚本当前快照\scripts\16_prepare_colabfold_prediction_jobs.py,C:\SH\fga_cyclic_peptide_design\scripts\16_prepare_colabfold_prediction_jobs.py,准备 ColabFold/AF-Multimer jobs。,40873b96908446e54ce8c9cfb034c44a6a951003d9c0d63f9574b478e412d459
project_script_current,CURRENT_REVIEW_SNAPSHOT,17,01_项目脚本当前快照\scripts\17_parse_colabfold_predictions.py,C:\SH\fga_cyclic_peptide_design\scripts\17_parse_colabfold_predictions.py,解析 ColabFold/AF-Multimer 结果。,5845bf0f35865205fcb301e9b7771308f9f7eb42eedb0c6621e96bff871f0f45
project_script_current,CURRENT_REVIEW_SNAPSHOT,18,01_项目脚本当前快照\scripts\18_discover_rfpeptides_target_sites.py,C:\SH\fga_cyclic_peptide_design\scripts\18_discover_rfpeptides_target_sites.py,Stage -1：目标位点 rediscovery、RSA/geometry/occlusion/anchor/fpocket 旁证。,12b3a01ea96ab99f3e5cb61f836e0c7dbae28e1325194691a86987bde1d23f9b
project_script_current,CURRENT_REVIEW_SNAPSHOT,19,01_项目脚本当前快照\scripts\19_prepare_rfpeptides_article_inputs.py,C:\SH\fga_cyclic_peptide_design\scripts\19_prepare_rfpeptides_article_inputs.py,Stage 0：生成 target crop、hotspot mapping 和编号映射。,7792934342f30ef28dcac84715d62bb79e4df4394f418d4f81ec04f186582f28
project_script_current,CURRENT_REVIEW_SNAPSHOT,20,01_项目脚本当前快照\scripts\20_make_rfpeptides_article_jobs.py,C:\SH\fga_cyclic_peptide_design\scripts\20_make_rfpeptides_article_jobs.py,Stage 1 job 准备；生成 RFpeptides runner，并执行 hotspot offset 静态 preflight。,5a6d541b9218a204b6002bcc2dfaa57220a3a9c882dc67b71060c9de4dc96c40
project_script_current,CURRENT_REVIEW_SNAPSHOT,21,01_项目脚本当前快照\scripts\21_collect_rfpeptides_backbones.py,C:\SH\fga_cyclic_peptide_design\scripts\21_collect_rfpeptides_backbones.py,Stage 2：解析 backbone，按 target-chain order 映射 Site_2/hotspot，并做严格 direct-contact QC。,a86aa016c41e0a335b53a5b09067c9cfd47777c73a42288464cf3ea6e469f0a6
